State,Rank,sq mi,sq km
Alaska,1,665384.04,1723337
Texas,2,268596.46,695662
California,3,163696.32,423972
Montana,4,147039.71,380831
New Mexico,5,121590.30,314917
Arizona,6,113990.30,295234
Nevada,7,110571.82,286380
Colorado,8,104093.67,269601
Oregon,9,98378.54,254799
Wyoming,10,97813.01,253335
Michigan,11,96713.51,250487
Minnesota,12,86935.83,225163
Utah,13,84896.88,219882
Idaho,14,83568.95,216443
Kansas,15,82278.36,213100
Nebraska,16,77347.81,200330
South Dakota,17,77115.68,199729
Washington,18,71297.95,184661
North Dakota,19,70698.32,183108
Oklahoma,20,69898.87,181037
Missouri,21,69706.99,180540
Florida,22,65757.70,170312
Wisconsin,23,65496.38,169635
Georgia,24,59425.15,153910
Illinois,25,57913.55,149995
Iowa,26,56272.81,145746
New York,27,54554.98,141297
North Carolina,28,53819.16,139391
Arkansas,29,53178.55,137732
Alabama,30,52420.07,135767
Louisiana,31,52378.13,135659
Mississippi,32,48431.78,125438
Pennsylvania,33,46054.35,119280
Ohio,34,44825.58,116098
Virginia,35,42774.93,110787
Tennessee,36,42144.25,109153
Kentucky,37,40407.80,104656
Indiana,38,36419.55,94326
Maine,39,35379.74,91633
South Carolina,40,32020.49,82933
West Virginia,41,24230.04,62756
Maryland,42,12405.93,32131
Hawaii,43,10931.72,28313
Massachusetts,44,10554.39,27336
Vermont,45,9616.36,24906
New Hampshire,46,9349.16,24214
New Jersey,47,8722.58,22591
Connecticut,48,5543.41,14357
Delaware,49,2488.72,6446
Rhode Island,50,1544.89,4001
Washington DC,,68.34,177
